Ship_got_good		{Masz %1 z %2}
Ship_cant_got_good	{Nie można załadować %1! Ładownia pełna!}

seg_Balls		{Kule armatnie}
seg_Grapes		{Kartacze}
seg_Knippels		{Kule łańcuchowe}
seg_Bombs		{Granaty}
seg_Sailcloth		{Płótno żaglowe}
seg_Planks		{Deski}
seg_Slaves		{Niewolnicy}
seg_Wheat		{Zboże}
seg_Ebony		{Heban}
seg_Chocolate		{Czekolada}
seg_Sugar		{Cukier}
seg_Wine		{Wino}
seg_Linen		{Len}
seg_Rum			{Rum}
seg_Tobacco		{Tytoń}
seg_Coffee		{Kawa}
seg_Mahogany		{Mahoń}
seg_Cinnamon		{Cynamon}
seg_Copra		{Kopra}
seg_Paprika		{Papryka}
seg_Fruits		{Owoce}
seg_Ale			{Piwo}
seg_Silk		{Jedwab}
seg_Clothes		{Ubrania}
seg_Cotton		{Bawełna}
seg_Sandal		{Drewno sandałowe}
seg_Leather		{Skóra}
seg_Oil			{Oliwa}
seg_Gold		{Złoto}
seg_Silver		{Srebro}
seg_Bricks		{Cegły}
seg_Food		{Jedzenie}
seg_Weapon		{Broń}
seg_Gunpowder		{Proch strzelniczy}
seg_Ration		{Jedzenie}
seg_Medicines		{Lekarstwa}
