title=Misión general: Dinero prestado por el usurero.
text.t1=He pedido un préstamo de #dammount# piezas de oro a #sloanshark#, el usurero de #stown#, en #sisland#, y tengo que devolverlo antes del #sdeadline#.
text.t2=He pedido un préstamo de #dammount# piezas de oro a #sloanshark#, el usurero de #stown#, en #sisland#, y tengo que devolverlo antes del #sdeadline#.
text.t3=He pedido un préstamo de #dammount# piezas de oro a #sloanshark#, el usurero de #stown#, en #sisland#, y tengo que devolverlo antes del #sdeadline#.
text.t4=He pedido un préstamo de #dammount# piezas de oro a #sloanshark#, el usurero de #stown#, en #sisland#, y tengo que devolverlo antes del #sdeadline#.
text.t5=He pedido un préstamo de #dammount# piezas de oro a #sloanshark#, el usurero de #stown#, en #sisland#, y tengo que devolverlo antes del #sdeadline#.
text.t6=He pedido un préstamo de #dammount# piezas de oro a #sloanshark#, el usurero de #stown#, en #sisland#, y tengo que devolverlo antes del #sdeadline#.
text.t7=He pedido un préstamo de #dammount# piezas de oro a #sloanshark#, el usurero de #stown#, en #sisland#, y tengo que devolverlo antes del #sdeadline#.
text.t8=He pedido un préstamo de #dammount# piezas de oro a #sloanshark#, el usurero de #stown#, en #sisland#, y tengo que devolverlo antes del #sdeadline#.
text.t9=He pedido un préstamo de #dammount# piezas de oro a #sloanshark#, el usurero de #stown#, en #sisland#, y tengo que devolverlo antes del #sdeadline#.
text.t10=He pedido un préstamo de #dammount# piezas de oro a #sloanshark#, el usurero de #stown#, en #sisland#, y tengo que devolverlo antes del #sdeadline#.
text.t11=He pedido un préstamo de #dammount# piezas de oro a #sloanshark#, el usurero de #stown#, en #sisland#, y tengo que devolverlo antes del #sdeadline#.
text.t12=He pedido un préstamo de #dammount# piezas de oro a #sloanshark#, el usurero de #stown#, en #sisland#, y tengo que devolverlo antes del #sdeadline#.
text.t13=He pedido un préstamo de #dammount# piezas de oro a #sloanshark#, el usurero de #stown#, en #sisland#, y tengo que devolverlo antes del #sdeadline#.
text.t14=He pedido un préstamo de #dammount# piezas de oro a #sloanshark#, el usurero de #stown#, en #sisland#, y tengo que devolverlo antes del #sdeadline#.
text.t15=He pedido un préstamo de #dammount# piezas de oro a #sloanshark#, el usurero de #stown#, en #sisland#, y tengo que devolverlo antes del #sdeadline#.
