Ship_critical		{Impacto crítico}
Ship_got_good_1		{Has recogido}
Ship_got_good_2		{qq de}
Ship_cant_got_good_1	{No puedes cargar}
Ship_cant_got_good_2	{- ¡Bodega llena!}

Fort_destroy		{ha sido destruido.}
Fort_cannon		{ ¡un cañón ha explotado!}

seg_Balls		{Balas rasas}
seg_Grapes		{Metralla}
seg_Knippels	{Palanquetas}
seg_Bombs		{Bombas}
seg_Sailcloth	{Lona}
seg_Planks		{Tablas}
seg_Slaves		{Esclavos}
seg_Wheat		{Trigo}
seg_Ebony		{Ébano}
seg_Chocolate	{Chocolate}
seg_Sugar		{Azucar}
seg_Wine		{Vino}
seg_Linen		{Lino}
seg_Rum			{Ron}
seg_Tobacco		{Tabaco}
seg_Coffee		{Café}
seg_Mahogany	{Caoba}
seg_Cinnamon	{Canela}
seg_Copra		{Copra}
seg_Paprika		{Pimentón}
seg_Fruits		{Fruta}
seg_Ale			{Cerveza}
seg_Silk		{Seda}
seg_Clothes		{Ropa}
seg_Cotton		{Algodón}
seg_Sandal		{Sándalo}
seg_Leather		{Cuero}
seg_Oil			{Aceite}
seg_Gold		{Oro}
seg_Silver		{Plata}
seg_Bricks		{Ladrillos}
seg_Food		{Comida}
seg_Weapon		{Armas}
seg_Gunpowder	{Pólvora}
seg_Ration		{Comida}
seg_Medicines	{Medicamentos}
